gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	acceptedNameUsage	acceptedNameUsageID	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	basisOfRecord	bed	behavior	catalogNumber	class	collectionCode	collectionID	continent	countryCode	county	dataGeneralizations	datasetID	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	disposition	dynamicProperties	earliestAgeOrLowestStage	earliestEonOrLowestEonothem	earliestEpochOrLowestSeries	earliestEraOrLowestErathem	earliestPeriodOrLowestSystem	endDayOfYear	establishmentMeans	eventDate	eventID	eventRemarks	eventTime	family	fieldNotes	fieldNumber	footprintSRS	footprintSpatialFit	footprintWKT	formation	genus	geologicalContextID	georeferencedDate	georeferenceProtocol	georeferenceRemarks	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	group	habitat	higherClassification	higherGeography	higherGeographyID	highestBiostratigraphicZone	identificationID	identificationQualifier	identificationReferences	identificationRemarks	identificationVerificationStatus	identifiedBy	individualCount	individualID	informationWithheld	infraspecificEpithet	institutionCode	institutionID	island	islandGroup	kingdom	latestAgeOrHighestStage	latestEonOrHighestEonothem	latestEpochOrHighestSeries	latestEraOrHighestErathem	latestPeriodOrHighestSystem	lifeStage	lithostratigraphicTerms	locality	locationAccordingTo	locationID	locationRemarks	lowestBiostratigraphicZone	materialSampleID	maximumDistanceAboveSurfaceInMeters	member	minimumDistanceAboveSurfaceInMeters	month	municipality	nameAccordingTo	nameAccordingToID	namePublishedIn	namePublishedInID	namePublishedInYear	nomenclaturalCode	nomenclaturalStatus	occurrenceDetails	occurrenceID	occurrenceRemarks	occurrenceStatus	order	originalNameUsage	originalNameUsageID	otherCatalogNumbers	ownerInstitutionCode	parentNameUsage	parentNameUsageID	phylum	pointRadiusSpatialFit	preparations	previousIdentifications	recordNumber	recordedBy	reproductiveCondition	samplingEffort	samplingProtocol	scientificName	scientificNameID	sex	specificEpithet	startDayOfYear	stateProvince	subgenus	taxonConceptID	taxonID	taxonRank	taxonRemarks	taxonomicStatus	typeStatus	verbatimCoordinateSystem	verbatimDepth	verbatimElevation	verbatimEventDate	verbatimLocality	verbatimSRS	verbatimTaxonRank	vernacularName	waterBody	year	datasetKey	publishingCountry	lastInterpreted	coordinateAccuracy	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled
50280003																																																														PRESERVED_SPECIMEN			17815	Aves	Birds		NORTH_AMERICA	PR						18												1922-02-18T00:00Z				Rallidae							Porphyrio																			Struthers, P.H.					UNSM				Animalia								"Anegado, Bajo [On original tag as ""Anegado Lagoon""]"									2													Gruiformes							Chordata					Struthers, P.H.				Porphyrula martinica (Linnaeus, 1766)			martinica						SPECIES													1922	851ab8c4-f762-11e1-a439-00145eb45e9a	US	2014-06-05T00:40Z								COORDINATE_INVALID		false	false	2474414	1	44	212	1493	9342	3242186		5228136	Porphyrio martinica	Porphyrula		DIGIR_MANIS		2013-09-07T09:05Z
477550574																																																														PRESERVED_SPECIMEN			149620	Aves	Bird		NORTH_AMERICA	PR						8												1930-08-08T00:00Z				Strigidae							Megascops																								MCZ				Animalia								Ancones									8													Strigiformes							Chordata					Agrait, M.				Otus nudipes (Daudin, 1800)			nudipes		San German				SPECIES													1930	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2014-06-05T10:15Z		45.72	0.0					TAXON_MATCH_HIGHERRANK;COORDINATE_INVALID		false	false	5232173	1	44	212	1450	9348	2497318		2497337	Megascops nudipes	Otus		DWC_ARCHIVE		2013-09-07T09:17Z
239703844																																																														PRESERVED_SPECIMEN			16689	Mammalia	Mamm			PR						27												1987-04-27T00:00Z				Phyllostomidae							Artibeus																			Genoways, H.H.				jamaicensis	UNSM				Animalia								San Juan, Univ. Puerto Rico Campus									4													Chiroptera							Chordata					Phillips, C.J.				Artibeus jamaicensis subsp. jamaicensis Leach, 1821			jamaicensis						SUBSPECIES													1987	851ab8c4-f762-11e1-a439-00145eb45e9a	US	2014-06-05T04:32Z								COORDINATE_INVALID		false	false	4265312	1	44	359	734	9366	2433258		2433272	Artibeus jamaicensis	Artibeus		DIGIR_MANIS		2013-09-07T09:09Z
239703843																																																														PRESERVED_SPECIMEN			16688	Mammalia	Mamm			PR						27												1987-04-27T00:00Z				Phyllostomidae							Artibeus																			Genoways, H.H.				jamaicensis	UNSM				Animalia								San Juan, Univ. Puerto Rico Campus									4													Chiroptera							Chordata					Phillips, C.J.				Artibeus jamaicensis subsp. jamaicensis Leach, 1821			jamaicensis						SUBSPECIES													1987	851ab8c4-f762-11e1-a439-00145eb45e9a	US	2014-06-05T04:32Z								COORDINATE_INVALID		false	false	4265312	1	44	359	734	9366	2433258		2433272	Artibeus jamaicensis	Artibeus		DIGIR_MANIS		2013-09-07T09:09Z
239703833																																																														PRESERVED_SPECIMEN			16678	Mammalia	Mamm			PR						22												1987-04-22T00:00Z				Phyllostomidae							Artibeus																			Genoways, H.H.				jamaicensis	UNSM				Animalia								San Juan, Univ. Puerto Rico Campus									4													Chiroptera							Chordata					Phillips, C.J.				Artibeus jamaicensis subsp. jamaicensis Leach, 1821			jamaicensis						SUBSPECIES													1987	851ab8c4-f762-11e1-a439-00145eb45e9a	US	2014-06-05T04:32Z								COORDINATE_INVALID		false	false	4265312	1	44	359	734	9366	2433258		2433272	Artibeus jamaicensis	Artibeus		DIGIR_MANIS		2013-09-07T09:09Z
477550692																																																														PRESERVED_SPECIMEN			154507	Aves	Bird		NORTH_AMERICA	PR						3												1931-03-03T00:00Z				Strigidae							Megascops																								MCZ				Animalia								Retiro									3													Strigiformes							Chordata					Agrait, M.				Otus nudipes (Daudin, 1800)			nudipes		San German				SPECIES													1931	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2014-06-05T10:15Z		45.72	0.0					TAXON_MATCH_HIGHERRANK;COORDINATE_INVALID		false	false	5232173	1	44	212	1450	9348	2497318		2497337	Megascops nudipes	Otus		DWC_ARCHIVE		2013-09-07T09:17Z
239703830																																																														PRESERVED_SPECIMEN			16675	Mammalia	Mamm			PR						20												1987-04-20T00:00Z				Phyllostomidae							Artibeus																			Genoways, H.H.				jamaicensis	UNSM				Animalia								San Juan, Univ. Puerto Rico Campus									4													Chiroptera							Chordata					Phillips, C.J.				Artibeus jamaicensis subsp. jamaicensis Leach, 1821			jamaicensis						SUBSPECIES													1987	851ab8c4-f762-11e1-a439-00145eb45e9a	US	2014-06-05T04:32Z								COORDINATE_INVALID		false	false	4265312	1	44	359	734	9366	2433258		2433272	Artibeus jamaicensis	Artibeus		DIGIR_MANIS		2013-09-07T09:09Z
50280000																																																														PRESERVED_SPECIMEN			17765	Aves	Birds		NORTH_AMERICA	PR						5												1921-03-05T00:00Z				Rallidae							Porzana																			Struthers, P.H.					UNSM				Animalia								Boqueron									3													Gruiformes							Chordata					Struthers, P.H.				Porzana carolina (Linnaeus, 1758)			carolina						SPECIES													1921	851ab8c4-f762-11e1-a439-00145eb45e9a	US	2014-06-05T00:40Z								COORDINATE_INVALID		false	false	2474639	1	44	212	1493	9342	2474604		2474639	Porzana carolina	Porzana		DIGIR_MANIS		2013-09-07T09:05Z
239703821																																																														PRESERVED_SPECIMEN			16666	Mammalia	Mamm			PR						18												1987-04-18T00:00Z				Phyllostomidae							Artibeus																			Genoways, H.H.				jamaicensis	UNSM				Animalia								San Juan, Univ. Puerto Rico Campus									4													Chiroptera							Chordata					Phillips, C.J.				Artibeus jamaicensis subsp. jamaicensis Leach, 1821			jamaicensis						SUBSPECIES													1987	851ab8c4-f762-11e1-a439-00145eb45e9a	US	2014-06-05T04:32Z								COORDINATE_INVALID		false	false	4265312	1	44	359	734	9366	2433258		2433272	Artibeus jamaicensis	Artibeus		DIGIR_MANIS		2013-09-07T09:09Z
477550691																																																														PRESERVED_SPECIMEN			149621	Aves	Bird		NORTH_AMERICA	PR						8												1930-08-08T00:00Z				Strigidae							Megascops																								MCZ				Animalia								Ancones									8													Strigiformes							Chordata					Agrait, M.				Otus nudipes (Daudin, 1800)			nudipes		San German				SPECIES													1930	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	US	2014-06-05T10:15Z		45.72	0.0					TAXON_MATCH_HIGHERRANK;COORDINATE_INVALID		false	false	5232173	1	44	212	1450	9348	2497318		2497337	Megascops nudipes	Otus		DWC_ARCHIVE		2013-09-07T09:17Z
