gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	acceptedNameUsage	acceptedNameUsageID	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	basisOfRecord	bed	behavior	catalogNumber	class	collectionCode	collectionID	continent	coordinatePrecision	coordinateUncertaintyInMeters	country	countryCode	county	dataGeneralizations	datasetID	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	disposition	dynamicProperties	earliestAgeOrLowestStage	earliestEonOrLowestEonothem	earliestEpochOrLowestSeries	earliestEraOrLowestErathem	earliestPeriodOrLowestSystem	endDayOfYear	establishmentMeans	eventDate	eventID	eventRemarks	eventTime	family	fieldNotes	fieldNumber	footprintSRS	footprintSpatialFit	footprintWKT	formation	genus	geodeticDatum	geologicalContextID	georeferencedDate	georeferenceProtocol	georeferenceRemarks	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	group	habitat	higherClassification	higherGeography	higherGeographyID	highestBiostratigraphicZone	identificationID	identificationQualifier	identificationReferences	identificationRemarks	identificationVerificationStatus	identifiedBy	individualCount	individualID	informationWithheld	infraspecificEpithet	institutionCode	institutionID	island	islandGroup	kingdom	latestAgeOrHighestStage	latestEonOrHighestEonothem	latestEpochOrHighestSeries	latestEraOrHighestErathem	latestPeriodOrHighestSystem	lifeStage	lithostratigraphicTerms	locality	locationAccordingTo	locationID	locationRemarks	lowestBiostratigraphicZone	materialSampleID	maximumDepthInMeters	maximumDistanceAboveSurfaceInMeters	maximumElevationInMeters	member	minimumDepthInMeters	minimumDistanceAboveSurfaceInMeters	minimumElevationInMeters	month	municipality	nameAccordingTo	nameAccordingToID	namePublishedIn	namePublishedInID	namePublishedInYear	nomenclaturalCode	nomenclaturalStatus	occurrenceDetails	occurrenceID	occurrenceRemarks	occurrenceStatus	order	originalNameUsage	originalNameUsageID	otherCatalogNumbers	ownerInstitutionCode	parentNameUsage	parentNameUsageID	phylum	pointRadiusSpatialFit	preparations	previousIdentifications	recordNumber	recordedBy	reproductiveCondition	samplingEffort	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	startDayOfYear	stateProvince	subgenus	taxonConceptID	taxonID	taxonRank	taxonRemarks	taxonomicStatus	typeStatus	verbatimCoordinateSystem	verbatimCoordinates	verbatimDepth	verbatimElevation	verbatimEventDate	verbatimLatitude	verbatimLocality	verbatimLongitude	verbatimSRS	verbatimTaxonRank	vernacularName	waterBody	year
50280003																																																															Voucher			17815	Aves	Birds		North America			Puerto Rico							18																Rallidae							Porphyrula																				Struthers, P.H.					UNSM				Animalia								"Anegado, Bajo [On original tag as ""Anegado Lagoon""]"													2													Gruiformes							Chordata					Struthers, P.H.				Porphyrula martinica				martinica															18.27N		66.07W					1922
477550574																																																															PreservedSpecimen			149620	Aves	Bird		Caribbean Sea	0		Puerto Rico							8																Strigidae							Otus																								nudipes	MCZ				Animalia								Ancones								45.72				45.72	8													Strigiformes							Chordata					Agrait, M.				Otus nudipes nudipes				nudipes		San German													18d 4m s N		67d 3m s W					1930
239703844																																																															Voucher			16689	Mammalia	Mamm		Greater Antilles			Puerto Rico							27																Phyllostomidae							Artibeus																				Genoways, H.H.					UNSM				Animalia								San Juan, Univ. Puerto Rico Campus													4													Chiroptera							Chordata					Phillips, C.J.				Artibeus jamaicensis jamaicensis				jamaicensis															018.28N		066.07W					1987
239703843																																																															Voucher			16688	Mammalia	Mamm		Greater Antilles			Puerto Rico							27																Phyllostomidae							Artibeus																				Genoways, H.H.					UNSM				Animalia								San Juan, Univ. Puerto Rico Campus													4													Chiroptera							Chordata					Phillips, C.J.				Artibeus jamaicensis jamaicensis				jamaicensis															018.28N		066.07W					1987
239703833																																																															Voucher			16678	Mammalia	Mamm		Greater Antilles			Puerto Rico							22																Phyllostomidae							Artibeus																				Genoways, H.H.					UNSM				Animalia								San Juan, Univ. Puerto Rico Campus													4													Chiroptera							Chordata					Phillips, C.J.				Artibeus jamaicensis jamaicensis				jamaicensis															018.28N		066.07W					1987
477550692																																																															PreservedSpecimen			154507	Aves	Bird		Caribbean Sea	0		Puerto Rico							3																Strigidae							Otus																								nudipes	MCZ				Animalia								Retiro								45.72				45.72	3													Strigiformes							Chordata					Agrait, M.				Otus nudipes nudipes				nudipes		San German													18d 4m s N		67d 1m s W					1931
239703830																																																															Voucher			16675	Mammalia	Mamm		Greater Antilles			Puerto Rico							20																Phyllostomidae							Artibeus																				Genoways, H.H.					UNSM				Animalia								San Juan, Univ. Puerto Rico Campus													4													Chiroptera							Chordata					Phillips, C.J.				Artibeus jamaicensis jamaicensis				jamaicensis															018.28N		066.07W					1987
50280000																																																															Voucher			17765	Aves	Birds		North America			Puerto Rico							5																Rallidae							Porzana																				Struthers, P.H.					UNSM				Animalia								Boqueron													3													Gruiformes							Chordata					Struthers, P.H.				Porzana carolina				carolina															18.02N		67.10W					1921
239703821																																																															Voucher			16666	Mammalia	Mamm		Greater Antilles			Puerto Rico							18																Phyllostomidae							Artibeus																				Genoways, H.H.					UNSM				Animalia								San Juan, Univ. Puerto Rico Campus													4													Chiroptera							Chordata					Phillips, C.J.				Artibeus jamaicensis jamaicensis				jamaicensis															018.28N		066.07W					1987
477550691																																																															PreservedSpecimen			149621	Aves	Bird		Caribbean Sea	0		Puerto Rico							8																Strigidae							Otus																								nudipes	MCZ				Animalia								Ancones								45.72				45.72	8													Strigiformes							Chordata					Agrait, M.				Otus nudipes nudipes				nudipes		San German													18d 4m s N		67d 3m s W					1930
